,context,question,answer
61,"CHAPTER V. 

THE BENEFIT OF THE DOUBT. 

Marco took dinner that day at the tavern alone, and, after dinner, he carried a cup of tea to Forester,--but Forester was asleep, and so he did not disturb him. 

In the afternoon he went out to play. He amused himself, for half an hour, in rambling about the tavern yards and in the stables. There was a ferocious-looking bull in one of the yards, chained to a post, by means of a ring through his nose. Marco looked at the bull a few minutes with great interest, and then began to look about for a long stick, or a pole, to poke him a little, through the fence, to see if he could not make him roar, when, instead of a pole, his eye fell upon a boy, who was at work, digging in a corner of a field near, behind the barn. 

The boy's name was Jeremiah. He was digging for worms for bait. He was going a fishing. Marco determined to go with him. 

Jeremiah furnished Marco with a hook and a piece of sheet lead to make a sinker of, and Marco had some twine in his pocket already; so that he was soon fitted with a line. But he had no pole. Jeremiah said that he could cut one, on his way down to the river, as they would pass through a piece of woods which had plenty of tall and slender young trees in it. 

He succeeded in getting a pole in this manner, which answered very well; and then he and Jeremiah went down to the river. They stood upon a log on the shore, and caught several small fishes, but they got none of much value, for nearly half an hour. At last, Jeremiah, who was standing at a little distance from Marco, suddenly exclaimed: ",Who was going to go with him?,. Marco determined to go with him. 
62,"Thomas looked up at the clock hanging on the wall of his room. He could not wait for his friend Ben to come over today. It was the weekend, so Thomas's dad had no work the next day. This meant his father would take them sledding. This was one of Thomas' favorite winter activities, even if he always got a few bumps and scrapes along the way. Thomas heard a knocking noise downstairs and knew it was Ben at the door. He got excited. This meant they would be sledding soon. He grabbed another mouthful of one of his mother's famous sugar cookies and made his way downstairs, tripping on his shoes. He opened the door to see Ben's mom giving him a friendly smile down the walk. Ben let himself in and his mother waved goodbye to them both. Thomas asked Ben if he wanted a cup of hot chocolate and then he went to find his dad for some sledding action. Both Ben and Thomas were very happy. They got their gloves on and made their way out to the garage to wait for Thomas' dad. Thomas dad would be driving them the long distance to the park.",who baked them?,his mother's famous sugar cookies 
63,"Prison Break is a huge hit thanks to its handsome star,Wentworth Miller. His actor, Michael Scofield, is the engine that drives the show. 

Michael Scofield is one of the most interesting personalities on television today. But what about the man behind the character? 

Miller,35,is a hard guy to figure out. He does not come from a normal background and has never lived his life in a typical way. 

Milier didn't take a direct path to fame and fortune. He graduated from Princeton University in 1995,not with a degree in theatre or film, but in English. He didn't even act when he was in college. His only performance experience was in his university's singing group. Yet, at graduation Miller still decided to make the move to prefix = st1 /Hollywood. 

Miller has always been different. Although he is American, he was born in Britainwhen his father was studying there. His family background is also a special mix of cultures. ""My father is black and my mother is white. That means I have always been caught in the middle. I could be either one, which can make you feel out of place,"" Miller says. 

Following his unusual path,Miller did not start trying out for films and TV shows when he first got to Hollywood. Instead, he worked as a lowly production assistant. Not what you would expect from a Princeton graduate. However, _ . 

In 2002,Miller played a role in the drama Dinotopia. He starred as a thoughtful and shy man. Producers remembered his performance when they were castingPrison Breaktwo years later. With a golden globe nomination and another season of Prison Breakon his resume ,Miller seems ready to take over all of Hollywood.",Is he British?, Although he is American
64,"CHAPTER SEVENTEEN. 

IN WHICH SOME DESPERATE ENTERPRISES ARE UNDERTAKEN. 

At this time the Russians had taken up a strong position in the Balkan mountain range, and entrenched themselves within a short distance of the enemy. 

After a night and a day of aimless wandering, Jacob Lancey found himself at last in a rocky defile between the hostile lines. How he got there he could not tell, but there he was, in a position of imminent danger, with the sentinels of the belligerent armies on either side of him. 

Evening was setting in when he made this discovery, and recoiled, happily without having been seen, into a narrow rocky place where the fast-failing light had already deepened into gloom. A cold white fog was slowly creeping up from the valleys and covering the hill-sides. 

It is in such places and circumstances that men conceive and execute designs, which, according to their nature, are deeds of recklessness or of heroism. Two such ventures were afoot that night. 

In the Russian camp preparations were being made for a night attack on a village in possession of the Turks, and out of which, with a view to future movements, it was deemed necessary to drive them. In this village there dwelt a youth, an intimate friend of Dobri Petroff. The two had played with each other in childhood, had roamed about the country together in boyhood, and, when they reached man's estate, had become faster friends than ever, being bound by the ties of intellectual as well as physical sympathy. When this friend, Petko Borronow, left Yenilik at the death of his mother, it was to take charge of the little farm in the Balkan mountains,--the desolate home where his sister Giuana, an invalid, and a beautiful girl, was now left in solitude. ",Why did he leave?, to take charge of the little farm
65,"CHAPTER XXVII 

THE SILVER CLASP 

It was about eleven o'clock on a hot morning and Kenwardine, who had adopted native customs, was leisurely getting his breakfast in the patio. Two or three letters lay among the fruit and wine, but he did not mean to open them yet. He was something of a sybarite and the letters might blunt his enjoyment of the well-served meal. Clare, who had not eaten much, sat opposite, watching him. His pose as he leaned back with a wineglass in his hand was negligently graceful, and his white clothes, drawn in at the waist by a black silk sash, showed his well-knit figure. There were touches of gray in his hair and wrinkles round his eyes, but in spite of this he had a look of careless youth. Clare, however, thought she noticed a hint of preoccupation that she knew and disliked. 

Presently Kenwardine picked out an envelope with a British stamp from among the rest and turned it over before inserting a knife behind the flap, which yielded easily, as if the gum had lost its strength. Then he took out the letter and smiled with ironical amusement. If it had been read by any unauthorized person before it reached him, the reader would have been much misled, but it told him what he wanted to know. There was one word an Englishman or American would not have used, though a Teuton might have done so, but Kenwardine thought a Spaniard would not notice this, even if he knew English well. The other letters were not important, and he glanced at his daughter. ",What look did he have?,of careless youth
66,"Jen put on her favorite dress. She liked it because it had cats on it. She was very excited about her birthday cake. Maybe the cake would have a turtle on it. Jen was going to have turkey. She had no gravy, so she had chicken for dinner instead. After eating the chicken, she remembered she was late for the dance! She ran up the stairs. She put on a coat and ran out the door. She walked past some ice cream. She did not have time to stop and eat any of the ice cream. She walked past some sprinkles. She did not have time to eat the sprinkles. Jen walked past the yogurt. She did not have time to get the yogurt. Jen got to where she had to go. Soon after, she turned around and started the long walk back home. She got home at last. She saw her huge cake. It had chocolate on it. Jen was very happy. She was ready to enjoy the cake.",What was she late for?,she remembered she was late for the dance!
67,"It was time for Jill to make her famous apple pie, out of the yellow apples that grew on her land. It was not time to pick the red cherries, or the orange oranges or even the green lettuce, but their nice colors made Jill happy. She would eat some of the pies, and give the rest of them away to her friends and family. She went out to her back yard where the apple trees were, and started picking. A few hours later, she had enough to make dozens of pies. She walked into the kitchen with her apples, and was all ready to start baking when she saw she was all out of flour. She would have to go to the store to get some, since you can't make a pie without flour. While she was at the store, she would also buy some cheese, bread, and milk. She did not need these to make pie, but she did need them to make her dinner. At the store Jill ran into her friends Bob and Steve and George, and told them she would make them all pies. After she had finished her shopping, Jill went to the library to get some books, to the car wash to wash her car, and to her mother's house to say hello. She went home after, and made her yummy pies.",next?, to the car wash
68,"The United States Department of Agriculture (USDA), also known as the Agriculture Department, is the U.S. federal executive department responsible for developing and executing federal laws related to farming, agriculture, forestry, and food. It aims to meet the needs of farmers and ranchers, promote agricultural trade and production, work to assure food safety, protect natural resources, foster rural communities and end hunger in the United States and internationally. 

Approximately 80% of the USDA's $140 billion budget goes to the Food and Nutrition Service (FNS) program. The largest component of the FNS budget is the Supplemental Nutrition Assistance Program (formerly known as the Food Stamp program), which is the cornerstone of USDA's nutrition assistance. 

After the resignation of Tom Vilsack on January 13, 2017, the Secretary of Agriculture is Sonny Perdue. 

Many of the programs concerned with the distribution of food and nutrition to people of America and providing nourishment as well as nutrition education to those in need are run and operated under the USDA Food and Nutrition Service. Activities in this program include the Supplemental Nutrition Assistance Program, which provides healthy food to over 40 million low-income and homeless people each month. USDA is a member of the United States Interagency Council on Homelessness, where it is committed to working with other agencies to ensure these mainstream benefits are accessed by those experiencing homelessness.",relating to what?,"farming, agriculture, forestry, and food"
69,"The family across the street has a cat. He is a cute black kitty named Dillon. The cat is about two years old, and the family has had him for about a year. He is an indoor cat who is not allowed to go outside. The children like to play with Dillon because he still acts like a kitten. Dillon jumps around, and chases flies, beetles and spiders. When he plays with the children, he sometimes uses his paws to attack them, but he doesn't try to hurt them with his claws. Dillon is a great cat but he has one problem: he likes to eat bread. The family only feeds him cat food, never human food like steak or potatoes. But the cat likes the smell of bread so much that he tries to find it everywhere he can. Dillon jumps up on the kitchen table when a sandwich is there, and tries to carry it away. He finds loaves of bread from the store on the floor and claws through the wrappers. The cat climbs into the bread cupboard looking for hot dog and hamburger buns. The family tries to make Dillon stop getting into the bread by spraying him with water when he goes after bread. They yell at him when he walks on the table. But Dillon does not listen. The kitty keeps trying to find bread to eat. The family thinks that the man who took care of Dillon when he was a very young kitten must have been a baker or cook, and that's why Dillon likes the smell and taste of bread so much!",What does he go after?,"Dillon jumps around, and chases flies, beetles and spiders."
70,"Jill ran upstairs as soon as she got home from school. Today she was a sad and angry girl. Her teacher had given her a lot of homework. Jill always thought homework wasn't fair. But she thought it was extra unfair today because she wanted to play with a new toy. The new toy was called Wiggle Giggle and Jill's friends said it was very fun. When Jill ran into her room, she jumped up on her bed. Frowning, she tried to think of a way to get her homework done very quickly. While she was thinking, she unwrapped a brownie and began to eat it. Brownies were her favorite snack and it made her feel a little better. Suddenly, Jill came up with a plan. She jumped down from the bed and stuffed the rest of the snack in her mouth. As she chewed, she opened her toy chest. Jill had to dig way down to the bottom, but she soon found what she was looking for: parts from a few broken toys. Things were looking up! Jill's plan was to build a robot to do her homework. Nothing would get in the way of her plan. It took her hours to finish it, but she was proud of her work. When it was done, she named the robot Mister Sparks. She told it, ""Mister Sparks, do my homework!"" Then Jill had to go eat dinner. After dinner, Jill spent the rest of the night playing Wiggle Giggle. It was so much fun! But Jill got some bad news before going to bed. Mister Sparks had not done any of the homework!",How long did it take for her to finish it?,"It took her hours to finish it,"
71,"CHAPTER XVII 

THE PASSAGE OF THE MOUNTAINS 

Kermode had been gone a fortnight when Prescott reached the camp and heard from Ferguson and others of his latest exploit. He smiled as he listened to their stories, but that he should find people willing to talk about the man did not surprise him. Kermode was not likely to pass unnoticed: his talents were of a kind that seized attention. Where he went there was laughter and sometimes strife; he had a trick of winning warm attachment, and even where his departure was not regretted he was remembered. 

Ferguson insisted on taking Prescott in, for his comrade's sake, and late one evening he sat talking with him beside the stove. His house was rudely put together, shingle-roofed and walled with shiplap boards that gave out strong resinous odors. The joints were not tight and stinging draughts crept in. Deep snow lay about the camp and the frost was keen. 

""I can't venture to predict Kermode's movements,"" said the clergyman. ""It was his intention to make for a camp half-way to the coast, but he may change his mind long before he gets there."" 

""Yes,"" Prescott replied; ""that's the kind of man he is."" 

Ferguson smiled. 

""You and Kermode strike me as differing in many ways; yet you seem strongly attached to him."" 

""That's true,"" Prescott assented. ""I can't see that I owe him anything, and he once led me into a piece of foolishness that nobody but himself could have thought of. I knew the thing was crazy, but I did it when he urged me, and I've regretted it ever since. Still, when I meet the fellow I expect I shan't have a word of blame for him."" ",where were Ferguson and Prescott having a conversation?,and late one evening he sat talking with him beside the stove.
72,"CHAPTER XXIV. SAINT MARTIN'S EVE 

Uneasy in his mind, seeking some way to tell the thing and acquit himself of the painful task before him, Garnache took a turn in the apartment. 

Mademoiselle leaned against the table, which was still burdened by the empty coffin, and observed him. His ponderings were vain; he could find no way to tell, his story. She had said that she did not exactly love this Florimond, that her loyalty to him was no more than her loyalty to her father's wishes. Nevertheless, he thought, what manner of hurt must not her pride receive when she learned that Florimond had brought him home a wife? Garnache was full of pity for her and for the loneliness that must be hers hereafter, mistress of a vast estate in Dauphiny, alone and friendless. And he was a little sorry for himself and the loneliness which, he felt, would be his hereafter; but that was by the way. 

At last it was she herself who broke the silence. 

""Monsieur,"" she asked him, and her voice was strained and husky, ""were you in time to save Florimond?"" 

""Yes, mademoiselle,"" he answered readily, glad that by that question she should have introduced the subject. ""I was in time."" 

""And Marius?"" she inquired. ""From what I heard you say, I take it that he has suffered no harm."" 

""He has suffered none. I have spared him that he might participate in the joy of his mother at her union with Monsieur de Tressan."" ",Was it about someone's sufferings?,"""And Marius?"" she inquired. ""From what I heard you say, I take it that he has suffered no harm."" "
73,"(CNN) -- Even a presidential campaign's airplane troubles can get partisan in an election year. 

Aviation incidents involving President Barack Obama and Ann Romney, wife of Republican presidential candidate Mitt Romney, have inspired hundreds of supporters commenting at CNN.com to connect those events to the candidates' political positions. 

When the Air Force One pilot aborted his first landing in Toledo, Ohio, due to weather on Wednesday, commenters were quick to jump on Obama. 

""See, Barack Obama can't even land a plane correctly,"" wrote a commenter whose handle is TheOtherBob. ""He was probably checking the polls - thinks he has Ohio in the bag - no need to land,"" wrote another commenter. 

""He was distracted, since he was busy adjusting gas prices over his smart phone,"" wrote another commenter. 

Ann Romney's smoke-filled plane 

Ann Romney couldn't catch a break, either. Her airplane cabin filling up with smoke due to an electrical problem was no laughing matter, but commenters quickly took aim at her husband and his response. 

Mitt Romney talked about not being able to open the airplane's windows in flight. (New York Times writer Ashley Parker, who wrote the presidential pool report mentioning the comments, declined to comment on his remarks, referring CNN to a New York magazine piece where she made it clear that Romney was joking.) 

""Maybe if Romney hadn't started the outsourcing trend, that plane would have been built and maintained better by hardworking 47%ers,"" wrote one commenter. 

""Firefighters came to the rescue, paramedics were there on time and the police took special care of your security. We are the 47% your husband scorns,"" wrote commenter Kweso. ",Was it a funny matter?,no laughing matter
74,"According to Pete Singer, a researcher who wrote a number of books on the military, active involvement of robots in battles could worsen warfare by making machines do all the dirty work for humans. He says that humanity is currently at point of breakthrough in war, like the discovery of the atomic bomb. ""What does it mean to go to war with US soldiers whose hardware is made in China and whose software is made in India?"" The research predicts that by 2015 American soldiers will be half robots, half humans. It is worth mentioning that attack drones and bomb-handling robots are just some of the devices that armies use in battles. Besides having no mercy in battle, robots, in contrast to humans, also cut off living soldiers from horrors. ""The United States is ahead in military robots, but in technology there is no such thing as a permanent advantage,"" Mr. Singer said, adding that currently Russia, China, Pakistan and Iran are working on the development of military robots as well. The researcher mentioned that robotics is something terrorists can take advantage of as well. ""You don't have to make robots believe they are going to get 7 million dollars when they die to get them to blow themselves up,"" he said. In addition, Mr. Singer mentioned that military robots feature cameras that record everything a machine sees, providing digital video that is uploaded on You Tubein graphic clips, which soldiers call ""war porn"". ""It turns war into entertainment, sometimes set to music. The ability to watch more but experience less,"" he said. David Hansco, who is a robotics designer, creates robots that have more features of a human. For example, his robots feature synthetic flesh faces and have the ability to read human facial expressions and copy them. The engineer states that the main idea is to create robots that can show empathy .",what does he design?,robotics designer
75,"CHAPTER EIGHTEEN. 

A DAY OF CALM FOLLOWED BY A NIGHT OF STORM. 

A fine-toned manly voice was heard, as the boat approached the mission smack, singing one of the popular hymns which are now pretty well-known throughout the fishing fleets. 

""No mistaking that voice,"" said David Bright turning an amused look on Billy; ""Singin' Peter won't knock off till he's under the sod or under the sea."" 

""Then he'll never knock off at all,"" returned Billy, ""for Luke there has bin tellin' me that we only begin to sing rightly a song of praise that will never end when we git into the next world."" 

""That depends, lad, on whether we goes up or down."" 

""Well, I s'pose it does. But tell me, daddy, ain't the hand very bad? I'm so awful sorry, you know."" 

""It might ha' bin worse, Billy, but don't you take on so, my boy. We'll be all right an' ship-shape when we gets it spliced or fixed up somehow, on board the mission-ship."" 

The hand was not however, so easily fixed up as David Bright seemed to expect. 

""Come down an' let's have a look at it, David,"" said the skipper, when the vessel's deck was gained. 

By that time Singing Peter had stopped his tune, or, rather, he had changed it into a note of earnest sympathy, for he was a very tender-hearted man, and on terms of warm friendship with the master of the _Evening Star_. 

""It's a bad cut,"" said Peter, when the gaping gash in the poor man's palm was laid bare, and the blood began to flow afresh. ""We'll have to try a little o' the surgeon's business here. You can take a stitch in human flesh I daresay, skipper? If you can't, I'll try."" ",What does it depend on?,whether we goes up or down.
